22:08:23.715 console.table() forward-logs-shared.js:31:1
(index) id fecha batch borrado trucks socio
66 9c2d285b-5615-4b6c-ae94-ac404a3c04b1 2026-03-17 undefined true 4 Carnerito
67 9d77d33b-0752-4d25-92d3-350ee5eab901 2026-03-17 undefined true 4 Cantimpla
68 9ecdb037-d0b2-4809-bcbe-1f66cbcc1eaa 2026-03-21 08df9e75-44a6-499a-9561-6f2e340a0c29 false 5 Galpon
69 a19d4311-5e15-47a8-b207-85d9e4a3418d 2026-03-15 undefined true 3 Galpon
70 a3722c84-e1ec-407c-83d5-ca0e248f3b2a 2026-01-12 undefined false 0 Galpon
71 a7cc9bf4-6638-43c5-b56a-792d8f984224 2026-03-17 undefined true 3 Galpon
72 a97a075f-7721-420d-bd39-46af23c84411 2026-04-03 fe018c28-fb1c-4c72-8abd-9ce0be492480 true 2 Galpon
73 ad18eb85-020c-4b0b-9c13-f6417bb405cb 2026-03-17 undefined true 4 Cantimpla
74 b16d2bba-fb53-47f4-b81c-f14f4aab62af 2026-01-29 undefined false 0 Galpon
75 b283d518-6be7-41f5-84bb-4f8599c5743d 2026-03-30 0b4858b9-6a79-4760-9786-f05065930132 true 3 Dogey
76 b2ba3f60-fd83-4c65-abc1-bf1a7f3a445e 1111-01-11 undefined false 0 Galpon
77 b7385e3d-d271-494f-8a48-b844e8f876bf 2026-04-12 04823be2-a84f-40a0-b20b-4c533f5a37c2 true 2 Fachería
78 b9755d10-8045-483f-a00f-86185d785449 2026-03-16 undefined true 3 Galpon
79 ba53a2c5-2c51-4ace-80b3-e61da39877c0 2026-01-06 undefined false 0 Galpon
80 bbbc747c-9e92-43f0-be7c-5dbb36496ae8 2026-02-04 undefined false 0 Galpon
81 c2359344-69b4-4179-a074-c742001c3628 2026-03-17 undefined true 4 Cantimpla
82 c27d70a9-bbc5-4113-9db1-97ce6b6847b8 2026-04-04 ae002b94-799c-4b2f-bb79-b6cd05743255 true 1 Galpon
83 c3431f84-c2d2-4a7f-8bc2-152bc9eb5fa6 2026-04-03 9ae3ca8d-3d65-404d-99a0-abcab6bf840a false 1 Galpon
84 c3ac7e53-a3fa-4cb6-b5b6-dcb44f1c1dcd 2026-02-05 undefined false 0 Galpon
85 c4a60095-4895-4aac-a993-ad8fa4d5d06b 2026-03-17 undefined true 4 Cantimpla
